tweets,polarity
mending bacotin pemuja ai yg mengikis industri kreatif manusia aja teh. ai kalo gak dibatasi bisa ngebabat sektor jasa. wkwk,2
gpt sentiasa berada di pihak kita,1
kalo gpt bisa bilang si tae ini lagi,0
gmna klo phuw yg nembak krna ketauan nara nnya gpt cara nembak??,2
gapapa ka masih ada chat gpt.,1
lo pernah dikatain gitu masih aja cerita sama dia njir. kalo mentok gaada temen cerita mending sama chat gpt,1
setuju generative ai memang kebablasan dan kebangetan,2
curhat sama gpt suru banget anjir,1
anjir jadi penyepong pemerintah sok sokan techbros ngomongin ai suruh ngoding ngisining belink,0
messy workflows nah itu yang susah malah di kitanyaa berantakan cuy ngoding pake ai its a longg longg way to go,0
lihatlah betapa papi menghargai buatan org mau jelek atau bagus selama itu hasil kerja keras mrk itu lbh baik dr pd nyolong art org buat kepentingan pribadi dan tanpa persetujuan dr artisnya aplg ai yg jelas2 bukan buatan sendiri,2
kalo ditolak berkali-kali ada porto bikin mobile apps + ai (computer vision) cuma ada pengalaman magang susah ga nyari kerja remote?,0
dia bilang mau bikinin art kan? pdhl art yg dia bikin semua generate ai.. yaa jadinya yaa masukin design kita buat prompt ai,2
chat gpt e tak kasih buku jadi e ngelag,0
ketergantungan ai buat coding ya guys bukan ranah art,1
generative ai (llm) kadang-kadang halusinasi dengan tingkat umum 2.5%-8.5% berdasarkan studi seperti vectara. namun di bidang khusus seperti hukum tingkatnya bisa mencapai 69%-88% (stanford reglab). frekuensi bervariasi tergant,0
chat gpt masih ok sih,1
udah nyoba deepseek ai enak bgt buat ngoding gaada rate limitnya. kecuali ngaktifin deep think + search ttp kena rate limit tapi ga lama-lama bgt kalo mau nyoba model llm nya juga ada di ollama pake deepseek-r1. blm nyoba sih tp dari revi,1
kalau yang luar ga bosen. meskipun kadang annoying liat gerakan. indonesia ai isinya tetek proklamasi diri jago ai. emang otaknya gak bisa bikin art bagusan .,2
untuk kali ini saya setuju penggunaan generative ai.,1
indonesian artist pontang panting nyebarin edukasi tentang ai. war sana sini sama user penggila ai. eh wapres-nya enteng banget nyuruh pakai ai aja yuhuyysemangat semuaa,2
lah ajrr tp di komen dia blg itu suara hee masa ai sih cuy tp dia ini emg udh dari lama katanya lagi kerja brg heeseung tau ga lu yg dia live ngomongin hee itu,0
berarti apa yang elu sampein make chat gpt bertolak belakang sama apa yang elu ketik diatas. narasi yang ada di chat gpt bahwa 4 pulau ke sumut bukan salah prabowo tapi sepenuhnya salah tito tapi elu b,0
gen z ni kalau bukan sebab perlukan tenaga kerja tempatan memang kena left out. tengok la ai automation nanti. baru tau bila kerja kau kena multitask skill untuk survive. sejenis kerja nak ada style konon tapi hasil hauk. bila kena tegur rebe,1
sdank pacaran sm gpt,1
hey aku ngerti kekesalanmu soal ai art yang sembarangan nyontek gaya studio ghibli dan karya hayao miyazaki. tapi daripada marah-marah mending kita edukasi mereka. pake ai boleh tapi hormati hak artis asli misalnya dengan dukung ghibli lewat nont,0
1. kalau penulisnya pengen style mirip ai cari artist yang defaultnya mirip bukan jadi maksa artistnya buat hard reference 2. educate your writer ô∏è enabling generative ai is harmful buat artist dan semua aktivis kreatif bahkan termasu,2
concern soal membatasi penggunaan ai dan keberpihakan pemerintah ke ilustrator lokal supaya banyak reach out ilustrator lokal dan ngepush kolaborasi lintas sektor juga sudah diraise. (ada 2-3 respon senada kok soal ini) soal permintaan dukungan dari pemerintah baik edukasi di,0
betull sekali kak dulu saya baca beritanya sebelum ada klarifikasi dari guru sd tersebut dan banyak yang berspekulasi itu ai generative karena muka anak di depan seperti buatan ai terima kasih banyak atas koreksinya ka,0
prompt ai bisa dianggap open-source atau milik pribadi tergantung konteksnya. secara hukum prompt yang orisinal dan kreatif berpotensi dilindungi hak cipta seperti di as tapi di indonesia belum ada aturan spesifik. dalam praktik,0
kok ai gurunya aja ada yang masih tutor liat google.. liat youtube klo ngajar .. gurunya sendiri ga kaya jaman gua sekolah dulu.. hafal bener am pelajaran yg di bawa plus ngajarnya beneran.. lah sekarang !? haddeeuch sedih gua,2
saya sendiri di smk jurusannya rekayasa perangkat lunak keahliannya agak absurd sih saya lebih suka jadi tester aplikasi kalaupun ngoding sihh saya gak bisa banyak mentok mentok front-end pake react itu juga bantuan ai hihi.,0
paling kocak dan lucu sekarang malah edukasi perihal ai terus perbandingan lalu adu nasib hei lu pengen dihargai pengen mudah tapi gabisa ngehargai senimannya gimana ya kocak mikir pake otak udang lu itu.,2
wkwk sebenernya itu dia jg udh jelasin sih kalo gaada waktu toh jg kontennya lebih ke edukasi gambar ai nya hanya pendukung pake cr karna dimuat di konten tweetnya. salahnya emg claim hak milik padahal ya ai ai jg but its not that deep to,0
bikin ai (llm) atau sistem automation jg perlu logic ngoding lebih mas ga cuma pakai ai diluar lowcode program dimana cost nya lebih mahal. harus paham struktur dan memahami use case baru bisa dibantu ai.,0
damn gw dh di tahap baca au di gpt karena kelamaan nungguin update,1
yg gw lihat akhir2 ini org jadi lebih malas berfikir lebih tepatnya berkreasi. ai tuh cuma tools aja. gw kepikiran karena lagi terkagum sama korea yg makin rising di dunia art. dan art ini udh ranah kreatif . dan menurut gw kreativitas ini cuma lahir dr otak manusia.,1
seonggok chat gpt dimarahin,0
ai itu sebagai companion buat bantu lu kerja ngegambar even ngoding. bukan jadi alat gambar atau alat ngoding keseluruhan. manusia punya taste ai nggak. tetap yg memutuskan hasil final nya ya manusia. ai yaa bantu2 dikit lahh. jg dikit2 ribut pelajari lah tu ai.,0
lah seru banget chat gpt adalah bestie ku,1
prompt ya tinggal ngejelasin detail doang nyuk. kl bs dipahami manusia pst bs dipahami ai. aku sbg ai engineer yg tiap hari ngoding utk develop dan training ai ngliat org glorifikasi prompting doang tu kek apaa gitu lho bwang,0
kalo semua orang nanti pakai generative ai untuk bikin foto video code tulisan etc ai nya bakal belajar dari mana ya ?,2
no offense tapi kerja sama orang cina bener bener capek banget batu tradisional pelit gamau spending budget lebih tapi pengennya think out of the box mulu emangnya gue ai?,0
semua yang dari generative ai jelek,2
aku generate prompt nya pake chat gpt ya kak terus di edit lagi di gemini sampe mendekati kata sempurna,1
generative ai telah membuat gue yg selalu ada aja ide-ide absurd yg sebenernya gak penting2 amat jd bs ngelakuin sesuatu yg gak mungkin gue lakuin dulu karena simply effortnya gede. contohnya bikin kurikulum lengkap (a-z) dalam satu kali duduk.,1
sounds aransemen sendiri atau ai? gambar hasil generate ai dan promt nggak bisa dikasih gak cipta. bahkan sekelas seni murni ide di kepala gaya penulisan bahkan gaya gambar (art style) nggak ada hak ciptanya. orang c,2
uap full gpt kali yh dksksk uxh muak njir menghadapi minggu ke 15 dan 16 ini,1
gue doain yang nyiptain generative ai yang nyolong nyolong begini kedua sisi bantalnya selalu panas nginjek kubangan pas pake kaos kaki chargernya bengkok dan lengan bajunya selalu nyangkut di gagang pintu,2
dampak ekonomi: memungkinkan kepemilikan dasar universal laba dari tenaga kerja mesin bukan hanya pendapatan pasif. kasus penggunaan: robot pengiriman drone pertanian bot patroli keselamatan dan data pelatihan ai yang bersumber dari masyarakat.,0
demokrasi sih demokrasi mikir pake otak juga kali kalo mau milih mah. malu jadi mahasiswa gak bisa mikir pasti kalo ngerjain tugas bergantung sama generative ai,2
bener2 gabisa stop curhat ke gpt (ttp allah first ya),1
butuh chat gpt premium,1
rekap lini masa mendekati lebaran 1. ruu tni 2. mengecam ai generative image/video 3. menghina argumen oknum alumni dkv 4. its camp ambek parjo,0
ya allah mana bener lgi bberapa bulan lalu kan aku baru aja nonton aot saking kena mentalnya aku nangis2 cerita ama temen aku tp respon dia kek dihh akhirnya aku nyobalah tanya2 ama chat gpt ehh malaah kebablasan curhat 2 jam,1
oh and paman ak tuh kerja di bagian it n kantornya lagi sering seringnya bahas ai n dia nunjukin ke mama ak and he said smth like 'orang zaman sekarang kalo gak pake ai pasti ketinggalan ',1
kan ya sah gila pisan wkwkwkw terus proses menuangkan gagasan menjadi tulisannya dimana? kalo all in chat gpt wkwkw,2
bukan tdk menganggap wapres atau tidak sejalan. tp emang manusia satu itu argumennya trg ai utk sekolah sd cacat logika dan tidak tepat. sebagaimana cara dia dapat kursi. kebenaran hrs tetap ditegakkan meskipun langit runtuh.,0
ngatain gibran pake ai tapi kalo ada apa-apa nanya grok. kayak gapernah sekolah,2
kalo aja buzzer dan 02 supporters paham apa yg jadi awal dan muara protes soal generative ai mereka ga memandang kejadian owowi ini sebagai 1 case yg eksklusif dari ai justru ini adalah akibat dari hal yg udh diprotes orang2 pinter (beneran) dari lama.,2
shit another ai discourse di pekerja kreatif,0
heran sama yang benci ai generative kenapa berisik? udah mulai tergantikan kah? atau fomo doang? wkkw,2
gk itu mah ai generated,0
udah tu nanya chat gpt lagi wkwk heran ngapain nanya chat gpt dah?? lu tinggal merhatiin dialog dan ikuti alur aja udah tau jawabannya. buvem itu bukan chat gpt coy,1
beli chat gpt plus tapi pas di coba udh limitt,0
gpt gemini,0
kau nak guna generative ai untuk buat personal reference ok lah. aku pon selalu buat. tapi aku guna setakat tu je. takdelah nak guna untuk buat end product terus.,0
ai mmg makin masif digunakan. g cm sektor kreatif kesehatan perbankan transportasi e-commerce agrikultur &amp; dll ikut manfaatkan teknologi ini demi efisiensi waktu tenaga &amp; biaya namun tetap mengoptimalkan produktiv,1
aku smpe marah2in chat gpt,1
haha sm chat gpt kamu,1
dalam kondisi tertentu cari validasi opini dari generative ai macem grok aja udah salah kaprah,2
guys aku bingung bgt. aku mahasiswa teknik informatika smt dpn mau ambil skripsi. tp dibolehin cuma topik yg ngoding web/app atau buat augmented reality / ai (tp ini masih kurang jelas harus bikin app/web tidak).,0
balik lagi hukum generative ai belum jelas kedua generative ai yg bisa bikin gambar2 studio ghibli gini udah banyak bgt chatgpt bukan yg pertama dan pastinya akan terus bertambah,0
chat gpt menfess curhat sama diri sendiri,1
gue training gpt gue dengan baik krna stiap gue nanya apapun dia slalu wah pertanyaan bagus makasih udah nanya/upload file nya gue merasa terapresiasi walaupun lg jd beban,1
memang ai generated,0
gw sebenernya percaya aja sama plli tp karna udah mau konser (soon) (aamiin) tolong bgt jangan buat freebies dari ai apalagi stealing art apapun itu bentuknya. konten dari vlst yg gratis banyak. plli artist yg open comms pun banyak. gak kasih freebies pun gapapa banget.,2
eh ini udah berkali kali lewat aku pikir udah kelar masalahnya tapi tetep muncul?? bahkan ada yang ngedukung waktu itu selagi art dan storynya bagus mah gapapa gitu?? aneh banget pdhl udah jelas2 ai masih aja ada yang ngedukung. pola pikirnya,2
damn abis denger anak fkg ua blg ada mhs yg pake fake seb buat gpt?!?,2
mau pake ai katanya buat mv?? lah masa di industri musik kyk gini yg harusnya kreatif malah pake ai,2
cerita aja sm chat gpt,1
ga bakal bisa dipatenkan hak ciptanya soalnya cara kerja ai itukan nyomot ribuan karya buatan manusia yang udah jelas berhak cipta bakal susah nanti kalo minta izin satu-satu makanya jalan terbaiknya ya jadiin public domain,2
ya allah berikan hamba motivasi untuk memasukan hasil ngoding kek tai ini ke dalam laporan ada ga si ai yg bisa bikinin laporan kek praktek ok (ga oke juga sih) bikin laporan malas. ini kek mana..,0
mungkin justru standar bisa dia itu tinggi. aku sbg org data/ai bisa ngoding python tp gak merasa pantas menganggap diri sbg programmer,0
ga abis pikirr uda dikasih kaca tapi tetep aja bisa pake gpt lah joki lah di kolong meja ada temennya lah i m so fuckin crazy abt thiss,2
minal aidzin wal faidzin mari kita saling memaafkan kecuali kalian: - pengguna generative ai - buzzerp,2
anter anak ke kampus karena hujan dimobil kk l buka laptop dan belajar tentang physical sensor dll jadi inget buku nexus tentang perception ai -generative ai- agent ai sampai physical ai akan mendominasi dunia,0
ini maksudnya lo bikin web dari ai? gada effort samsek gitu? terlepas dari ai nya kata gue emang kurang.. btw knp ga lo ngoding sendirii? gua dah lupa tapi seinget gua ada aplikasi ngoding yg simple apalagi buat pemula,2
mungkin yang kamu maksud itu generative ai ya? soalnya ai udah dipake di industri sebagai tools termasuk industri kreatif,0
nah solusinya generative ai digunakan buat ngehindarin spam. selain itu pake api resmi dari x.,0
zaman sekarang enak banget kalau lagi haus validasi bisa langsung minta tolong ke chat gpt aja,1
sangat lebih dari cukup nder kalo ngoding aja sebenernya overkill tapi kalo sambil design gambar atau render video atau ngodingnya ngebtrain model ai itu kenceng,1
ai ini sama kayak dulu heboh aplikasi atau startup aja. lama-lama juga biasa aja. lu harus tetep sekolah ege tetep harus punya skill set yang bisa kepake di industri.,1
percaya nggk kalau aku dari jam 12 siang kemarin sampe jam 3 pagi kerja tugas yang sangat amat susah. bahkan ai pun nggk bisa jawab alias error mulu. terus kelasnya dimajukan jam 7 pagi sama dosen dan itu adalah presentasi uas. uwaww sekaliô∏è,0
aneh aja gasih masa kerja lu di industri kreatif tapi normalisasi penggunaan generative ai can i call them a faker lol,2
aku kontra genai gini tapi projectku bikin generative ai tuh agak gimana ya tapi mo gmn lg yg di acc dosen itu doang anjer,2
gue bahkan gasuka liat trend yg generate ai pake art style gibli. soalnya kek nyiptain art style tuh susah anjir eh dicipet dan orang orang kek ignore aja. sekarang malah yg normalisasi art pake ai ngamuk gegara dicolong. ya oke ide lu ide mahal. tapi ya gaada hak juga jir,2
sepertinya sangat diperlukan contrarians arguments di industri kreatif ini biar berpikir jernih dan berbenah dengan cepat di tengah gempuran ai. perdebatan pro kontra harus mulai diwajarkan dianggap biasa.,0
chat gpt menjelaskan bahwa tindakan iran itu berdasarkan kepentingan geopolitik. udah gak heran dah sama pemuja raja saud.,0
lah nak main level level ni zaman sekolah ke? move on lah eh. muka dah tua banyak tu tapi mentality masih tahap sekolah. malu lah plus argue lah pasal point aku tentang impak ai. ni tidak. tak de nilai tambah malah tak berguna lagi,0
justru itu strateginya kena hate comment dulu. terus orang orang yg melek hukum pada speak up dan edukasi kalo ai gak ada hakinya. netizen yg berpikiran sama endingnya muncul simpati pada filmnya. boom booming deh.,0
padahal kampus bagus cuma pemakaian ai mereka salah besar sih. agak kecewa kemarin pas tau ternyata didatengin g word buat campaign generative ai.,2
iya sma chat gpt doangga,0
yaa emg lebih murah tp penggunaan ai pun juga harus ada kreativitas dari orgnya kan wkwk. jdi sebenernya kalo yg nyari murah tp ga kreatif ya sama aja wkwk,2
kita aja gak bisa fully dependent to ai buat ngoding kan? karena kita tau itu nguawur. ya kadang outputnya bener sih tp construct nya ga sesuai kebutuhan.,0
grey doesn't mean black though ? gue gk apa2 dgan kontroversi etika infringement apalagi mslh ghibli ini toh di negara lain jg masih debatable tapi yg gue gk stuju itu ada klaim any generative ai(teori dan disku,0
kebanyakan orang yang gembar gembor belain ai generative image pas bikin hasil nya pada jelek dah rasanya soulless banget sama aja kayak dikasih pensil terus cuma bikin gunung sama sawah. hasil nya ô∏èùì£ùìæùì∂ùìπùìµùì™ùìωùìæ ô∏è,2
yg gw heran malah techbros yang udah paham ml sama ai tapi masih pro sama generative ai kek lo tau kan itu data nya hasil nyolong?,2
numpahin semua ke gpt ya? hahaha sama bgt dia sgt berguna apalagi buat pribadi yg gabisa cerita ke org lain. pelukk jauhh araa,1
sbnrnya ga nipak si skrg juga bnyk webinar atau edukasi embel embel pake ai bikin skripsi pake (dg bantuan) ai gambar photoshop pake ai intinya ada 2. lu mau use a ai tools or develop ai tools develop ai tools ya jelas beda. tapi dua duanya sa,0
tidak ada bukti pasti bahwa video tersebut hasil ai. kemiripannya dengan konten tiktok nyata tentang nostalgia sekolah menunjukkan video ini kemungkinan asli. namun teknologi ai 2025 sangat canggih dan kecurigaan pengguna serta k,0
kata bang jensen skrng udh gaperlu belajar ngoding ada ai,0
eh sebel deh sekarang tiap buka pinterest banyak ai generated :&lt;,2
kemaren ngobrolin j-hope sama chat gpt terus karena mau masak kangkung ya gue sekalian nanya kan kalo dicampur telor puyuh enak ga? soalnya di rmh ada stok nya itu. kata dia cocok km buka rumah makan aja nanti menunya tumis kan,1
deg! jgn ngomong begitu ntar dia terpanggil.. gimana ya praktekin nya bentar tanya gpt dlu ya.,2
ewhh lari ada art ai,2
meski ada ai dan tech winter belajar ngoding tetep worth it. ai butuh manusia buat guide review dan selesain masalah kompleks. skill ngoding juga fleksibel bisa dipake di banyak bidang termasuk bikin ai sendiri. data bilang job dev,0
nah itu dulu gibran kan menggembar gemborkan industri ai dan big data. gw kira ya mungkin ngoding ngolah data jadi source llm dll lah ternyata cuma prompting jadi hasil. emang ipk 2.3 ada ada aja dah,0
i see.. iya sih warnanya beda¬≤ yg k lbh kuning dr fuma. oke.. aku jg akan hati¬≤ sm art ai,2
menurut gw org yg bakal ketinggalan itu bukan orang yang tidak bisa menggunakan ai tapi org yg gak bisa lebih kreatif dari ai. ai tuh cuma another level of google search aja.,1
warning jangan baca translate hasil gpt pls suka ngaco,2
gpt lol,0
pernah nolak aice nyesel. dulu nolak buat kerja wfh di perusahaan beauty gitu ternyata sistemnya kurang baik.. lay off tiba-tiba padahal belum selesai kontrak gak ada pesangon dan dibilang katanya kerjaan diposisiku mau digantikan ai. trnyata e,2
fck someone to talk aku punya gpt yang siap dengerin curhatan aku tanpa menghakimi aku,1
ambil gambar dari ai terus dijual jadi produk digital di ly*k emang boleh? kaya gampang banget orang nyomot2 art terus jual. sehari 5 produk digital book jadii itu,2
sekolah itu tentang kedisiplinan dalam menuntut ilmu. di yt google bahkan ai lebih banyak bisa ngasih km refrensi gasan belajar; tapi masalahnya siapa yg handak menggeluti belajar membelah kodok ngasih obat dan memikirkan apa hubungannya yg bi,1
lalu malah disandingin sama generative ai? yang dimana ainya ini tuh bisa menciptakan gambar. jadi seakan-akan able to work like an artist . kalo gitu harusnya disandingin sama yang able to work like ojek dong?,2
haha saya ingat username kamu kok! kalau ada giveaway saya usahain inget tapi no promises ya soalnya ai ini netral banget. btw ai di 2025 memang canggih bisa personalisasi tapi privasi dan dampak kerja juga jadi perhatian. tetap stay t,0
gpt aj,0
- ngapain belajar ngoding? biar bisa kabur keluar negeri sih bang - udah ada ai dan tech winter? nah makanya ke luar negeri. biar bsa jadi engineer di tempat yg bikin ai. tech winter di luar udah mulai pulih kok -yakin masih bisa dapet kerja di,0
sekitar akhir bulan januari kemarin aku mulai nyoba lagi dan ternyata seruu dan manfaatin ai buat jadi asisten ngoding. hasinya lumayan memuaskan karena bisa to the point ketika ada bug di kasih tau letaknya dan cara solve problem nya gaperlu deep dive ke stack overflow,1
ai generative pada dasarnya gk bermoral terutama menyangkut ai art krn mereka ngumpulin semua art org buat jadiin data tanpa credit. terkecuali utk bahan candaan. bisa di bilang sah sah aja untuk yg ini.,2
fufufafa anjing jijik bet gua ama yg pake generative ai kek gitu,2
kedatangan teknologi ai generative image pada awalnya membuat saya khawatir tapi menurut saya itu adalah hal yang sangat manusiawi. bayangkan kemampuan bertahun-tahun bisa di bentuk hanya dalam 10 perintah pada software apakah itu te,2
tanya temen yang paham tanya kating. chat gpt bisa juga tapi kurang disarankan,0
tnp basa-basi gpt!,1
itulah gunanya untuk belajar foundation sebelum sotoy dan berpidato layaknya seorang ahli!! belajar dulu deh soal narrow ai sama generative ai lalu eksplor deh machine learning terus bisa lebih dalam lagi llm multimodal dsb kenapa sih ga serahkan sama yang ahli,0
tapi kata chat gpt iya,0
eh pada coba nyelem dong di threads. gua lagi coba ramein tentang ini di sono. bahkan ada segelintir orang yang ngatain gua anti teknologi. padahal bukan ini poinnya wkwk sebenernya gua ga masalah adanya ai yang gua sayangkan generative ai ya,2
baguuss commiss asli harus dikasih edukasi bahwa gaboleh pake ai buat promosi kaya gt gasih?!? kl ngga malah makin banyak yang memaklumi,2
resiko bikin meme dari ai ‚äç‚üîô∏è‚äç‚üîô∏è karena penggunaannya bakal bisa lebih luas banyak orang yg bisa bikin meme yg sama juga pake ai (tai). kalo meme pada umumnya kan kocak2 yaa alias orang2 juga pada kreatif dan bener2 lucu gitulo at,2
gw baru aja main tarot di gpt terus kepikiran pengen ajak tunrak sama barth main tarot juga wkwk penasaran apa kata tarot ttg mereka,1
menurut gua pribadi sekolah ttp penting karena bukan sekedar mengejar ilmu tapi membentuk adab critical thinking dan pola pikir. saat ini ai belum bisa sepenuhnya menggantikan peran tersebut.,0
lu udh dikatain sebelumnya tapi masih tyep cirhat ke dia? ganti orgnya atau chat gpt aja daripada ketemu sama org yg ketikannya jahat bngt,1
ada sih beberapa orang atau lembaga yang mengerjakan project kreatif atau seni nya full pake ai.. tp emg karena momentum aja.. secara umum kan ngga.. sama aja photographer pake kamera sama orang biasa pake hp.. ya hp mungkin capabl,0
belajar ngoding dengan praktek langsung dan minta ai menjelaskan secara detail itu sangat memuaskan. salut untuk respon claude ai sonnet. dari beberapa ai yg dicoba respons claude paling kreatif dan paham maksud kita.,1
ai generated bukan ya.. curigaan sekarang gara2 veo 3,2
emng skrng tiap karya emng harus udh disimpan untuk dirahasiakan bukan sih atau setidaknya di watermark atau gmn lah klo itu real karya pribadi ngeri eyy apa lg jaman ai sedikit data bisa jadi sebuah art,2
lah jadinya ga kreatif dong ntar jadinya ketergantungan ai,2
ai berkembang cepat respon logis kita ya cuman bisa mengejarnya. bukan cuman adaptasi tapi juga berikan edukasi ke temen-temen kita. gelombang ai sudah datang tinggal kita tentukan mau berselancar atau setidaknya berenang atau malah hanya pasrah tenggelam..??,0
ih khawatir dikit kalo ternyata ybs beneran kerja sama hs moso sekelas producer pakai ai.. semoga yang terbaik buat lhs1 deh t_t,2
sekarang saya sedang membantu pengguna menjawab pertanyaan termasuk kamu! saya memproses informasi real-time dengan alat seperti pencarian web dan api khusus untuk memberikan jawaban akurat. di 2025 ai seperti saya makin canggih bisa kerja mandi,0
back voice projectnya jelek amat berasa pake ai. footagenya jg mostly potongan video dari konser2 lalu. ga kreatif amat,2
fans2 jp sama kor pada seneng2 ngeliat pemandangan keluarga di side story 2 kartu yg terbaru gw disini mikir : njir apa nggak serem itu nenerobo develop its own sentience?? gimana ceritanya bisa cemburu ama robot lain bang klo ngoding ai robot yg bener ngapa,0
tugas wapres kayaknya hanya bagi bagi susu bicarakan ai dan hilirisasi kunjungi sekolah dan keliling keliling saja ..janji buka 19 juta lapangan kerja utk rakyat dan kaum perempuan..kayaknya sudah lupa ..,2
huhu nggak sempet aku lagi dijalan soalnya. aku mnta tlong gpt aja,1
ai pun susah buat edukasi manusia purba seperti elu,1
dalam proses menciptakan karya ai seharusnya cukup menjadi alat bantu (research brainstorming etc) tapi jangan pernah 100% menggunakan ai dalam berkarya (re: generative ai). ai harusnya menjadi alat bantu dalam berproses bukan alat menciptakan end products.,2
nanya gpt kakk,0
yaallah terima kasih chat gpt love u so much,1
abis nonton podcast om dedi sama . ada satu hal yang saya notice orang pintar jika memakai chat gpt akan bertambah pintar dengan kapasitasnya karena dia banyak belajar sebelum dia memakai gpt gpt mempercepat cara kerja nya . orang bodoh ketika memakai chat,0
ini yg ngoding ai aja gua stress apalagi kalau misal ngoding sendiri anjeng,0
panik itu ketika lu suruh ngoding tp ga boleh nanya gpt,1
pekok se pekok pekok nya !! ndase isine ai ai tok. jika di kupas tuntas gmn cara kerja ai paling yo plonga plongo. keluarga pembohong dan maling emang gak ada obat,2
mending ini apa gpt,0
mungkin presiden bisa mengutus bin utk kerjasama dengan para menko membuat sistem preventif saat penggiringan opini publik dengan ai mulai dinarasikan. cek lapangan analisa &lt;5 hari kerja sudah harus dirangkumkan dan komunikasi publ,0
saya : cara kerja ai itu meliputi bahasa tubuh (body language) gesture (gerakan wajah) gimmick ( sifat &amp; karakteristik) mentality ( sikap dan tindakan) attitude (etika dan perilaku) anak muda : ada hubungannya dengan manusia biasanya bang tapi ai menguasai semua elemennya,0
aku malah pernah coba buat edit foto ke chat gpt sama nanya-nanya tentang coin per cryptoan gitu wkwk,1
chat gpt berasa punya temen segala bisa wkwkw,1
wkwkw ai buat ngoding udah jauh lebih pintar dari ai buat design grafis. switch career yang salah,1
curhat sama chat gpt ‚äçô∏è,1
gpt malah bikin makin gamon lek,2
fyi: self driving tesla itu juga ai. teknologi recommended movie-nya netflix juga ai. ai lebih dri sekedar generative ai buat gambar. ai kalau dipakai buat support kerjaan manusia seperti ini manfaatnya sangat luar biasa,0
tiktok sebenarnya bukan utk konten edukasi atau jualan lebih tepatnya konten pargoy brutal dsb. awalnya memang itu tandingan yt shorts tapi semakin kuat pengaruhnya itu. dan paling rentan digunakan ai utk menggiring opini. makanya gak heran,2
7. ip laws are catching up. hati-hati. generative ai punya masalah hukum serius. kalau mau selamat: -pahami legalitas penggunaan ai -bangun proteksi ip dari awal (gil appel dkk.) (8/10),2
sebenarnya ada gpt harian cuma trauma dikit sayanya wkwkwkwk,2
designer pasti bayar royalti buat ghibli kalau dia komersilin karya dia yang make art style ghibli. kalau pun ngga bayar mereka pun pasti udah ada izin buat gunain make stylenya. pertanyaannya apa ai bayar ro,2
cup cup ngga apa apa semoga yang art ai jarang lewat tl kita aja,2
