clean_content;polarity
salah fitur photoshop generative ai fill omupied sangka buka suara publik solusi suruh artist ulang key art beda rekam layar ha;negative
sadly yg kaya gin tuh dam ilustrator kontra ai generative ai temp hyphen nya isokay;neutral
dunia main video inovatif boleh generative ai fortnite sahaja mengemaskini darth vader komunikasi main kontroversi landa vader libat bual kasar tindak mampu ai;positive
generative ai is plagiarism;negative
luncur key art gim timbul perhati serius duga key art rilis generative ai timbul kecewa temu janggal ilustrasi promosional;negative
ngomongin dreadout keinget salah podcast the lazy monday ceo dh kurleb ngeembrace ai generative proses development aset aset gambar generic yg make ai gambar tp ga produk;neutral
attending seminar abt generative ai ts boring as fuuck;negative
tuju generative ai bablas banget;negative
mat nanya serius ya ada urgensi generative ai is it the most affordable and efficient option in any way possible;neutral
mutualku tau pakai generative ai art gak segan blokir terima kasih;negative
disclaimer gw ngga anti temp hyphen ai era short video generative ai kek mampu teliti otak turun gara temp hyphen gara instan disuapin informasi;negative
wajar aja orang nyerang gibran ngomongin ai ga ngejelasin ai yg dukung liat rekam jejak promosi generative ai;negative
yg nerima generative ai mayoritas tolerir ai dipake sbg referensi sketsa alat yg ngebantu doang inti proses karya alas protes jg karna data karya yg dipake nge temp hyphen train ai temp hyphen ai ambil izin kait;negative
orang yg ngikutin perkara ai udah tau kalo yg tolak jenis ai generative jenis ai yg dipake bikin karya musik ilustrasi animasi dsb kalo ai yg ngumpulin data ngoding macam ga yg protes;neutral
banyak orang gembar gembor bain ai generative image pas bikin hasil nya jelek dah soulless banget aja kayak kasih pensil bikin gunung sawah hasil nya  ;negative
bookstagram gue difollow org yg posting generative ai;negative
generative ai kalo ngilangin potensi juta lapang kerja ya gapapa kalo sampe hina raja ga kasihan tau kerja ganggu hidup sengsara makan nggak mood gitu aja ga paham;negative
seni patut benci tu lukis chatgpt or any ai generative tool sikit chatgpt girl fuck you and your ugly ass anime art;negative
ingat hari cek bio akun fanartist rp rt colong riah karya generative ai;negative
ai generative dasar gk moral ai art krn ngumpulin art org jadiin data credit kecuali utk bahan canda bilang sah sah aja yg;negative
kalo aja buzzer supporters paham yg muara protes generative ai ga pandang jadi owowi case yg eksklusif ai akibat yg udh protes orang pinter beneran;negative
btw ngejelasin orang yg ga etis kalo orang diginiin pake ai lu kek poster owowi cium ga knowledge gap aja ga paham kalo ai generative datasets pandang buluh copyrightsnya;negative
beda akinator ama generative ai akinator nebak tokoh doang internet kayak peluru nyasar nggak paham konteks genative ai paham teks olah;neutral
regulasi generatif ai simple if the government can t handle this you will definitely see more stuff like this give people the regulation about generative ai plus sarkastik prabowo;negative
poin kritik kak regulasi guna generative ai cegah penyalahgunaan ditangkepin bikin imagenya yaa uu regulasi lindung ai generative image;negative
kampus bagus pakai ai salah sih kecewa kemarin pas tau didatengin g word campaign generative ai;negative
analogi tolol ai generative lu samain pisau kaya analogi anak tk understanding lu cetek banget ai generative yg kritik ai generative yg nyomot karya orang lu ngerti kerja ai generative yg dipake w;negative
ai generative tolol ai macemnya yg gembor gemborin wapres tolol yg buruk hadeh pantes tolol lu gibran supporter;negative
kay wakil penting rakyat ancam regulasi generative ai kritik politis wenang gambar share penting -nya gak paham;negative
jd ga kuat pasal yg jerat generative ai regulasi lempar penjara langgar tuju ngomong regulasi utk benar tp biar besok gak gambar jel;negative
kalo make ai bantu mixing doang gimana hilangin noise butuh data hasil karya orang masalah generative ai ai suka nyomot karya org;negative
killer drone pasang ai masuk patut gak patut generative ai nyuri data artist pakai gibran patut ai deepseek bantai tian;negative
ga apple to apple analogi ai buruk apa bentuk kecuali untuk kemashalatan kembang mesin teknologi kalo curi karya orang ya buruk ai generative yg junjung lu support adal;negative
knp peduli consent jadi foto jabat yg kena knp lu ga nanya ai galak bhkn jadi program ajar lu tau ga yg tentang sm yg nolak generative ai;negative
dosen kampus pake aplikasi plagiarism checker udah dipake dosen generative ai booming ut tau ga standar persen maks persentase plagiarisme tuton udah bagu;neutral
aspirasi guna generative ai art dukung perintah bentuk protes la;negative
ai generative pakai godok strategi ide produksi kreatif manusia depan skillnya seragam donk operator ai;negative
tai lu tau ga generative ai disalahgunain kek gimana orang banget perempuan muka foto ga senonoh ai gilir jabat tai kek gin ngomongin etika;negative
ni jenis generative ai yg curi hasil kerja orang nak libat arts;negative
sederhana generative ai makan energy banget ngegenerate energy listrik air langsung ngaruh sda ngehasilin waste polusi bumi using ai is much much more than an;negative
generative ai digembar gembor gibran rakabuming nggak dr derivatif produk turun nft coinan yg derivatif dr teknologi blockchain if we really want to learn ai ya ajar core temp hyphen nya;negative
oh iyaa bener spesifik generative ai;neutral
heran benci ai generative berisik udah ganti kah fomo doang wkkw;negative
gue doain nyiptain generative ai nyolong nyolong sisi bantal panas nginjek kubang pas pake kaos kaki chargernya bengkok lengan baju nyangkut gagang pintu;negative
create module training ai generative attached platform online tuk start biz online sync crm payment gateway;neutral
cape banget illust lucu ga kayak ai liat bio profil jengjeng generated digital illustration illustrations by generative ai;negative
gue kemarin ngelaporin mahasiswa kampus pake generative ai poster poster official kampus emang bijak kampus udah pro ai;negative
bgt wkwkwk temenku yg bahas ai film tp maksud ai nya maksud kek teknologi kyk cgi dll ai generative sm ai generative trs suruh observasi via chatgpt;neutral
siswa guru latih ai identifikasi cegah generative ai tugas sekolah kreativitas;negative
pixelpun kalo ga sesuai revisi peran file project krusial ga milik ai and on top of that hasil generative ai nggak konsisten ancam sebenernya pro;negative
ai udah pakai industri film daei - marak generative ai fungsi cepat workflow ganti kerja ranah professional detail bener -;neutral
rame generative ai tuh sebenernya ancam banget ada ai kaya gin artist newbie usaha kalo udah ranah professional ai gak;negative
jujur paham ai bawa sampe tahap ai generative engga etika ai yg ajar implementasi engga emg ai ga jahat kendala data collecting user;neutral
proses cipta karya ai alat bantu research brainstorming etc ai karya re generative ai ai alat bantu proses alat cipta end products;negative
yaudah lu brrti nyalahin gibran nya orang pro ai gimana si lu ngelakuin generalisir orang yg pro ai sama dukung pragib aja udah ga make sense kalo argumen lu putar generative ai aja;positive
ya lo bicara ai argumen lo cuman mentok mentok generative ai kocak research dlu la minimal ajg jgn jgn gatau generative ai;negative
bisa you ngebanggain jumbo sbagai karya alumni tpi sama jg endorse guna generative ai shame on you;negative
then proceed to ngundang wapres agenda politik langsung pakai karya seni hasil generative ai;negative
yg massive dipake promosi gibran generative ai art wajar orang marah art theft;negative
gibran make generative ai in arts curi ya bangsat it s art theft;negative
bnr kak tp si g word paham ai generative doang;negative
contoh skill digital ajar generative ai aplikasi ai peluang ai engineer gaji data analysis analisis data bisnis data scientist software;positive
short form content and generative ai tech has done an irreparable damage to collective cognitive function of humankind especially indonesiam dah mampu pikir runtutny bawah dunia kena maju parah anj;negative
yes mas byk project fullstack yg ui nya heavy wkwk mmg skrg mostly client pgn integrate generative ai;positive
matkul literasi data ai bagus turut diajarin pake ai seni fokus ya ngasih tau pakai tools up temp hyphen to temp hyphen date teknologi kembang ttg eda ml llm generative ai dll;positive
matkul literasi data intelegensi artificial turut sampai mas oke deh minggu dijelasin ttg machine learning minggu ttg gimana generative ai latih mandangnya biar ngerti gimana ai ber;positive
yg bilang china ketawa ngeliatin orang yg tolak ai generative image bilang seni emang iya teknologi robot ai nya masif ngeliatin kek orang primitif aja tolak ai;positive
w emg skrg anti ai spesifik generative ai w ga anti maju depan ai improve a lot mudah kerja policy copyright royalty artist dll udh i ll change my mind and support it instead;positive
warga cm bantu isi kuesioner teliti sender kriteria mahasiswa seni desain sender neliti guna generative ai linknya sender taro reply tia;neutral
nggak jual buku muat generative ai;negative
boycotting gena is not just a trend ya nder yg suara generative ai ai tools hhhh;negative
lu ngerti ga sih orang cancel ai orang tu mostly gasuka ai generative image bahan learningnya nyolong artist ai ghibli nyolong hayao miyazaki lu ai bayar kompensasi miyazaki artist yg karya dipak;negative
org bnyk yg salah paham nih ya yg dicancel generative ai klo pke chatgpt brainstorming tmn ngobrol nyari ide tp klo pke chatgpt jgn pake bikin gambar dipake jual belikan;negative
kayak salah generalisasi generative ai maksud ganti manusia hapus aja biar ga salah paham;neutral
regulasi sih orang bikin ai ambil data emang izin aja guna menyalahgunakan dicancel generative ai maksud ngegantiin manusia terleb;negative
enggaaa maksud chatgpt ya generative ai pakai ngobrol ngerjain tuhas punn;negative
iyaa pake chat gpt gak pake generative ai nya temen ngobrol kerjain tugas aja sih analisis ga akurat kodingan error;neutral
gen ai generative ai ya ai yg hasil chatgpt gen ai tepat yg cancel ai yg pakai langgar hak cipta;negative
apskah video yg dipost asli hadil ai generative;neutral
simpul generative ai temp hyphen ikut survival adaptasi integrasi ai pintar market leader are you ready generativeai hbr futureofwork;positive
ip laws are catching up hati temp hyphen hati generative ai hukum serius selamat -pahami legalitas guna ai -bangun proteksi ip gil appel dkk;negative
creative work is under siege generative ai ubah dunia kreatif skenario -kolaborasi -dominasi -penggantian kreator wajib ajar main ai david de cremer dkk;neutral
adapt or die generative ai trend lomba brand adaptasi cepat lambat kompetitor ambil langgan david c edelman amp mark abraham;neutral
video asli video hasil ai generative;neutral
oh generative ai x ya udah udah pake;neutral
kali tuju guna generative ai;positive
in woke hell rn kelas generative ai;negative
scriptnya aja emang ngandelin generative ai;neutral
coba analisa puisi postingan murni hasil karya manusia bantu generative ai diri thanks in advance;neutral
generative ai bantu;neutral
sih kalo ga etis aja kayak pake generative ai bikin gambar;negative
kayak yg main tech banget sih pake ai generative likely respond suara realtime pake vr;neutral
generative ai gue yg aja ide temp hyphen ide absurd yg sebenernya gak jd bs ngelakuin yg gak gue lakuin simply effortnya gede contoh bikin kurikulum lengkap a temp hyphen z kali duduk;positive
undang podcast generative ai bisnis amp startup up share ya ngga pakai rag embedding amp gimana pas curhat background agentic observers support;positive
predictive ai contoh sederhana nali spam email rekomendasi netflixmu dsj generative ai ya temu create gambar teks dsj agentic ai contoh sederhana perintah smart car yg nyetir alexa macam;neutral
ai di- trained mikir ya kek gedein anak gampang ai user input training data output garis jenis ai based on their output - predictive ai - generative ai - agentic ai;neutral
kalo kek gin percaya yg pake generative ai aman ganggu kreativitas seniman;positive
guna generative ai seni brainrot dsb tdk hukum atur yg aset yg latih ai yg pakai contoh jenis aset training yg asal da;negative
tren agentic ai banget indonesia teknologi anggap lanjut generative ai ai nggak tindak bantu kerja manusia otomat;positive
fyi aja yg masalah kait guna generative ai bidang seni kait curi data aset karya seni sbg bahan training izin generative ai ga contoh tolak perkemba;negative
susah sih mbantu implementasi ai salah teaching hospital utk bantu diagnosis tp lbh tarik generative ai utk klaim asuransi lolos;neutral
orang ngeliat layan generative ai sbagai yg statis y prompt bsok beda hasil;neutral
konsekuensi guna generative ai kian marak terima again i m not applying any moral judgement right here right now;neutral
fb latah ygy digital art ai poles aja lawan ai ai plek ketiplek klaim karya ai lengkap generative ai or as a stock debatable opini;negative
hahahahah tengok isu ai jalur gemilang ni ni image generative ai takat gambar selit artikel isu video gena voice gena lingkup lepas ni;neutral
ai generate texture benda general imej alam dummy bandar kau kerja deadline tight je untum kerja ai generative reka;positive
ai generative reka ni orang malas bos fomo faham reka elak isu hak cipta buka ai cepat klik situasi bos cakap je ai cepat;negative
kurang la pakai generative ai official post mcm sampah ja;negative
generative ai buka dataset bahan training ai biar artist studio karya ambil ilegal nuntut hukum;negative
rapi generative ai nya lightroom;positive
surprisingly liat org indo laku industri kreatif udh bgt yg ngerti isu generative ai udh ngerti knp gena harmful bule yg org indo pinter opini gena aneh;negative
mentang pakai generative ai malas nak check kerja;negative
ai in creative field like stability and to delete stuffs generative ai from midjourney tu yg orang maki sbb data curi from other digital artists;negative
ai generative edit samsung ui mantep banget alusssss;positive
benci bat hasil kerja gue ai gue sensitif klo plv genuinely ai or sangkut pautin ai generative;negative
gak ngerti ai pikir plli tolol gatau pake ai gw kayak data summary ngitung cari jenis generative ai ngancurin image idol lu literally figuratively;negative
semenjak gw kenal plave ga gw liat vlast plave fandomnya pake generative ai kali gw witness the audacity to use ai billboard pantek;negative
tepat ai generative bidang industri kreatif sih aja;negative
yg kritik generative ai ya kak ai kyk agentic ai yg bnyk kontra generative ai;negative
umat gibran ai generative art jahat;negative
tolong plli collector akut tolong beli merch plave billboard campur ai generative hayo udah tau plave kata temp hyphen katain anggap ai ayo lawan ai;negative
susah orang simpat buruk generative ai kreator unless you re a creator yourself;negative
percaya generative ai bikin jari wkwk;negative
temp hyphen bisa orang gambar ngillust design cipta visual bilang eksplorasi style bela generative ai;negative
setujuuuuu pdhl aja pke gambar eagle yg asli ngapain pke generative ai;negative
yg dipake dunia tuh ai yg kayak gimana fufufafa mah bacot generative ai doang kocak lu;negative
lrt tuh ga paham orang temp hyphen orang yg ngaku ngestand plave sadar feed plave pictures generative ai aduh ayo biasa buruk sisi kpop stan taruh kalo diilangin deh ga suka suara foto idol nyanyi masuk gen ai;negative
tolak salah ai contoh abis bikin content generative ai jual dikomersilkan;negative
kalo konsisten peduli legalitas sumber data hindar generative ai hasil gambar teks model gpt keluarin nyolong teks internet ajar ng;negative
smua software photosop dll kategori ai beda manfaat generative ai mana instan stuju dgn ai generative ai beda generative ai;negative
generative ai subset ai generative generate hasil gen ai musik gambar teks video dsb generative ai analisis data rekomendasi f;neutral
sic batch ilmu buat generative ai computer vision machine learning dll ilmu temp hyphen ilmu coba join sic batch;neutral
ai bikin resah generative ai jenis ga gena rusak image recog face tracking;negative
beda ai llm generative ai walopun sebenernya proses belakang jenis ai pro kontra tp orang lebi gasuka generative ai;negative
tuh udah ajar ganggu ai can be used to help as a tool but if you use it to make an end product that s generative ai that s the problem;negative
paham lenceng bener generative ai dipake ngecopy hasil karya identitas seniman kayak ganti kebo traktor;negative
damn yaudahlah gua nyerah pandang lu ranah seni congrats sorry gua tetep tolak guna generative ai komersil ampe eventhough gua developer ai;negative
atur atur mana hasil generative ai copyright sebenernya aja atur luas susah usaha entertainment dapet uang cop;negative
ciptain pake generative ai ya basis ml model machine learning model dasar data yg data yg potensi orang krn hak cipta;negative
datang teknologi ai generative image khawatir manusiawi bayang mampu tahun temp hyphen bentuk perintah software te;negative
iring jalan paham sadar iot solusi masalah hari temp hyphen ajar generative ai computer vision dashboard streamlit;neutral
kali ajar iot generative ai sadar dar kait ai colok zaman ajar iot ajar berpikir-;neutral
oh generative ai ramah lingkung proses olah data ajar proses hasil respons prompt diinput;negative
fyi aja generative ai yg pake kerja ngumpulin amp ngambil data karya yg ad internet potensial karya artists colong utk bs generate art sesuai yg mau bayangin deh jd artist udh kdg bayar ga setimp;negative
apa negri mana produk ilegal aja jual marketplace produk kw wkwkwk cm malak doang suruh bikin paten tp ga jalan org yg langgar hak cipta noh generative ai yg nyolong data t;negative
kalo pns digitalisasi solusi a witch hunt laku generative ai komersil personal use b desak perintah regulator kaji ulang ai c isi elo;negative
ucap hayati jumat agung beda ucap dng teks sms yg jago pakai photoshop masuk era canva beda hasil generative ai yg dominasi kembang teknologi pengaruh kreasi;neutral
fakta china amp jepang gempar ngembangin teknologi ai generative arts model aplikasi komunitas maju banding negara langkah perintah adaptasi ai udah ses;positive
iya iuga apresiasi kalo generative ai cantum dapet but ai ngak mangklam buat ya yg eay laku suka yg laku;positive
gaada yg ngecam ai yg kecam tu generative ai artist kerja seni dunia kecam;negative
pov alas orang orang gak suka generative ai orang gk suka pasti twit mas nya salah;negative
wkwkwk negara jg yg ga tuju generative ai yg data train temp hyphen nya nyolong indo beda ya yg pakai end temp hyphen product ai asa keren ajar pake ai sbnrny ai adlh rancang algoritma;negative
minta alas gak for fun wow sekaliiiii ya ramai generative ai orang tau effortnya karya yg gak suka;negative
generative ai kecam utama gena etis ip pakai ip orang izin gera kayak sag temp hyphen aftra strikes tolak guna gena also gena ai scr ai scr bantu;negative
gen ask using ai generative ai utk konsumsi pribadi considered unethical used for commercial and formal sector government institution etc hal tracing plagiasi pls enlightenment me;neutral
yeeee main lu orang kenceng banget nolak generative ai yg ai tuh penggunaanya iya orang pake ai transcript ngedit dll bikin karya art ya no one is stopping indon to do the sam;negative
ganti nama prompt engineer for generative ai;neutral
sekadarmengingatkan guna generative ai ethical chatgpt is a form generative ai copilot gemini they re also generative ai;negative
kenal ai guna coba ajar kerja ai harga kerja kreatif hak cipta kecam generative ai;negative
yes because it generates pictures i was there when that happened yg coba point out tweetku ngebedain ai in general ai yg spesifik in this case the generative ais;neutral
marah pulak orang salah generative ai dah cakap benda ni kena restrictions;negative
text ai is generative ai tho;neutral
ai yes generative ai;neutral
generative ai is like digital corn syrup;negative
m temp hyphen m temp hyphen min gambar generative ai;negative
ga ngedukung generative ai simply ga etika ga law enforcement nya contoh jujurly suka makan konten dub ai imagine voice actor kerja suara kasih makan ai bikin scenario amp;negative
generative ai war;neutral
nggak kontribusi guna generative ai kontribusi training tools tsb generative ai bom perfect udah sedia jasa deepfake revenge porn pake ai hasil temp hyphen meyaki;negative
temp hyphen but it s done by billions of people generative ai ai gambar pakai manipulasi foto perempuan yg pakai hijab telanjang jadi video deepfake ai smooth;negative
kembang ai april maju pesat ai agen otonom rencana selesai tugas kompleks batas cepat skala generative ai adopsi bisnis efisiensi d;positive
ajar langsung dekat praktik artificial intelligence machine learning integrasi iot dalam generative ai mesin kreasi layak manusia ajar seru banget praktek pakai teknologi kini;positive
concernku dua gak bidang ilustrasi desain aja orang rely generative ai gitu nggak pakai cross temp hyphen check nggak temp hyphen malas mik;negative
for real pakai ai artist writer generative ai curi karya orang rusak lingkung alat;negative
take your time to read them don t worry generative ai rugi job hunter sayang;negative
kalo km bingung orang orang marah kali general public pakai generative ai mending km baca baca deh coba cari generative ai ambil sumber;negative
kalang desain grafis freelance full temp hyphen time sisi real life nggak suka generative ai generative ai curi karya seni hancur lingkung baca artikel post yg kait de;negative
generative ai i mean udah nge temp hyphen send tweet llm generate ability description dasar tweet yaa assetsnya pake ai gak ngeh liat gw gak;negative
ga heran sebenernya yg jual prompt kayak gila pakai generative ai aja lu udah males tambah mikir keywordnya males literally kerja copy paste semager temp hyphen magernya ga parah;negative
doktor contoh decides nak ubat kat sakit based on my medical judgement dipertanggungjawabkan salah ubat kena tindak ai made judgements too generative ai ai derived the output;negative
generative ai is plagiarizing human art period;negative
klien mimicking style orang aja turut gak manusiawi egois suruh plek ketiplek hasil generative ai yg tuh dipake alas kalo gambar gena alias tameng doang;negative
kalo gw sih ai tools alat bantu cipta karya kaya base cerita referensi dar nama batas gw toleransi hasil generative ai b;negative
nggak gambar hasil kasih prompt generative ai foto lucu temp hyphen lucu beneran barang;neutral
dapet informasi kalo studio animasi pakai generative ai gambar frame animasi efisiensi cepat kerja langgar moral;neutral
artist bikin komik bikin name ilustrasi dasar referensi sudut pandang karakter gitu kalo pake generative ai moral ngga ya serius nanya ajah;neutral
and konteks design kakak speaking of guna generative ai harmfull ekosistem real human artist ngga lebar kaya dapat bisa yuk a;negative
otaklu biji kesemek tulis puja generative ai moga buku lu flop ga laku sampe lu tobat;negative
benci banget tulis enabler generative ai sampe maksa human artist hard reference ai jelek banget selera artnya ai ken doain buku ga laku sampe covernya ganti full artist manusia;negative
tulis ken style ai cari artist defaultnya maksa artistnya hard reference educate your writer  enabling generative ai is harmful artist aktivis kreatif termasu;negative
temenku sempet diskusi salah generative ai tuh pakai karya artist izin regulasi karya dipake cuman artist yg udah consent dapet semacem komisi bayara;negative
aman nggak ditunjukin publik nggak komersial aman cuman artist komisi ide gambar ai dijadiin refrensi nggak kritisi generative ai ngambil data;negative
ni yutiber deng hehe mas vocal aja generative ai wkwk;negative
bjir v generative ai lightroom chefs kiss bgt krn jujur lu bs ilangin wm getty anjay;positive
kmrn pas ngeliat grocery store tp pake generative ai led etalase jelek bgt jujur;negative
tarik ai jenis generative ai bikin konten email desain artikel predictive ai baca pola prediksi tren pasar ngasih saran strategis fungsi beda banget temp hyphen dua powerful;positive
perang generative ai ga sih;negative
banjir konten candu media sosial susah kontrol dopamine tambah ai generative sedia konten instan;negative
ghibli protes gegara ai dipake generative ai iya ai bagus generative ai tuh hitung nyolong karya asli;negative
emang banyak orang nggak paham substansi masalah guna generative ai bawa temp hyphen bawa kalo kembang teknologi gabisa bendung udah hapal isi argumen;negative
llm m context mcp vibe coding ai agent generative ai dll ni henti zalim israel;negative
that makes me realize how alive those animation is ga layak banget dibandingin imej generative ai soulless;negative
main inzoi krn byk yg blg game devsnya pk generative ai;negative
hahh dunia gak hitam putih jir wajar orang tebang pilih ai can be beneficial but there is a clear copyright infringement in generative ai wajar kalo gibran wapres btw call out publicly gt aja gangerti;negative
moral kocak mana gibran notabene nya wakil negara pilih pakai generative ai sewa bayar orang manusia kerja;negative
ai emang beda temp hyphen beda sih bang a si generative ai jenis self driving car ai kritik satu ya valid aja kayak sushi sushi tuna salmon;neutral
nyari tau akar bedain generative ai midjourney enhanced search machine ai grok chatgpt aja gabisa ajar topik biar ga liat kosong kosong;neutral
gak nama anti ai anti generative ai;negative
tolong manusi tolol bahaya generative ai dunia seni multimedia;negative
bagus deh fanarts yg ditag pake ai kek aigc or smth enak ngeblocknya gua tipikal yg banget gocek ai art moga lu cepet tobat dah yg pake ai generative bidang yg generate idea original;negative
takat nak cerita kat orang layman twitter panggil ai je senang deep q network panggil ai generative adversarial network panggil ai large language model panggil ai;neutral
bro takat phenomenon hallucination generative ai ni user faham payah nak replicate methods technical paper faham benda ni;neutral
ai personal marketing booming banget generative ai bikin konten cepet predictive analytics tebak butuh langgan sampe omnichannel bikin alam konsisten contoh starbucks pake ai tawar spesial netflix kasih;positive
ajar ngosan ajar sistem ai bkn ai generative yg ramai ai generative mampu memroses output proses kunci sadar ai tdk akurat gantung;neutral
bikin trend ghibli ai generative temp hyphen gak nonton ghibli;negative
jumbo juta voice actor nya acc kolaborasi generative ai;neutral
ga paham orang perintah neng banget ama generative ai;negative
bisnis prospek bagus liput ai cybersecurity generative ai tumbuh minta pasar bisnis lanjut energi alternatif tangkap karbon janji dukung fokus li;positive
betull gemes bgt liat orang pk grok dgn enteng pdahal generative ai tu consumes huge energy gak bagus environment;negative
ingat it s not okay mengkomersilkan hasil generative ai perkara legal gak legal gak etis;negative
generative ai;negative
generative ai is cringe imo;negative
deng ditanyain cv submit kasi tawar kerja cekcok guna generative ai om sepupu deket sih nawarin ngomongin kerja sama tau dah lulus sisa blas ngira w bocah;negative
sumpah tuh ga ngerti org sukaaa banget ama generative ai gera stiff allahu;negative
fufufafa anjing jijik bet gua ama yg pake generative ai kek gitu;negative
inti generative ai jelek oke gua debat orang mindset ai tools buang temp hyphen buang oke fine seru seru gua males debat using ai for art shenanigans when you say you paid your artist showing you are broke af talents u should run;negative
atur khusus karya - karya kait nagi reo - karya orang hasil plagiat hasil generative ai gambar teks - karya kandung spoiler tambah ingat;negative
jyp plan pake generative ai tzu ngebubble;negative
generative ai curi machine learning artwork orang izin;negative
aint chilling on ts no more brah adek gua artist gua artist temen temp hyphen temen gua artist generative ai sourcingnya aja banyak gak etis gimana gua gak marah kalo hak artist aja harga haiya;negative
konon cerdik malam ajar maksud consent nampak sgt ni main click je tnc social media peras yg generative ai have the same tnc raya benak mcm babi;negative
tinggalin woy yg make ai generative;negative
eh coba nyelem threads gua coba ramein sono gelintir orang ngatain gua anti teknologi poin wkwk sebenernya gua ga ai gua sayang generative ai;negative
eh coba nyelem threads gua coba ramein sono gelintir orang ngatain gua anti teknologi poin wkwk sebenernya gua ga ai gua sayang generative ai ya;negative
yep yep generative ai rooted deep in capitalism ai meds disaster prevention ga bikin cuan cuan ga digemborin ga bikin kelas mlm;negative
ai enthusiast ga yapping generative ai kek emang ga yap bagus ai fungsi bikin analisah data gempa sehat;negative
larang trend so foto ghibli style pinter jaga data moga platform large language models llms generative ai models jaga data usernya;positive
jujur gw ga suka generative ai yg bikin sedih ya nggak bikin prompt alias nulis riset tipis macem hmmmm;negative
generative ai kali kenal -an chatbot eliza joseph weizenbaum mit eliza pola hasil teks sederhana maju gene;neutral
generative ai kali kenal;neutral
berani posting story generative ai stories orang yg generate ai foto ghibli wkwkwkwkwk;negative
waiya bener ni negara bebas ai generative image kalo fatwa haram;negative
generative ai gua pakai senang pribadi aja to feed my delulu mind;positive
orang kayak najib bener bener gak tau kode etik acm emang gak peduli situ aktif bidang bodoh hak cipta gambar dataset generative ai bandingin langgar etika hadeh;negative
kesel tuh kaya ko lu lakuin regulasi abu temp hyphen abu amp mikirin moral creatornya langsung gua permasalahin generative ai ga tanggung yee kalo ai mun;negative
